SuperCategory,TokenType,Token,AccumulatedScore
sci,Anomaly_Driver,90,2.172937513478246e-06
sci,Anomaly_Driver,amazing,2.162856253562495e-06
sci,Anomaly_Driver,brass,2.1223107978585175e-06
sci,Anomaly_Driver,ex,2.06228136221398e-06
sci,Anomaly_Driver,##head,2.0553228978315017e-06
sci,Anomaly_Driver,configured,1.9045046826704492e-06
sci,Anomaly_Driver,441,1.8556114810053258e-06
sci,Anomaly_Driver,events,1.8451781272688094e-06
sci,Anomaly_Driver,florida,1.7821955168528803e-06
sci,Anomaly_Driver,##dget,1.7287151450773308e-06
sci,Anomaly_Driver,##dm,1.68115325323015e-06
sci,Anomaly_Driver,dan,1.6578069505612803e-06
sci,Anomaly_Driver,##ble,1.6374322456158552e-06
sci,Anomaly_Driver,quicker,1.6207122143896413e-06
sci,Anomaly_Driver,adams,1.6128154584293953e-06
sci,Anomaly_Driver,##ga,1.5703055311178105e-06
sci,Anomaly_Driver,##ert,1.5646946849301457e-06
sci,Anomaly_Driver,##ut,1.5543568480325121e-06
sci,Anomaly_Driver,useful,1.5501002053497359e-06
sci,Anomaly_Driver,##pr,1.5403933957713889e-06
sci,Anomaly_Driver,difference,1.5356748406247789e-06
sci,Anomaly_Driver,helpful,1.5353653537886202e-06
sci,Anomaly_Driver,tenants,1.5351688489317894e-06
sci,Anomaly_Driver,service,1.52982962617898e-06
sci,Anomaly_Driver,finger,1.529545261291787e-06
sci,Anomaly_Driver,slave,1.5228582697091042e-06
sci,Anomaly_Driver,net,1.5102150882739807e-06
sci,Anomaly_Driver,nature,1.5081356309565309e-06
sci,Anomaly_Driver,controller,1.4855420232606774e-06
soc,Anomaly_Driver,##cula,8.537003923265729e-05
soc,Anomaly_Driver,hi,7.861772883188678e-05
soc,Anomaly_Driver,note,5.308457621140405e-05
soc,Anomaly_Driver,##rc,5.14438143454754e-05
soc,Anomaly_Driver,fishing,4.6161557929735866e-05
soc,Anomaly_Driver,##dp,4.5129423961043356e-05
soc,Anomaly_Driver,cyber,4.2105426155103486e-05
soc,Anomaly_Driver,issued,3.99522134102881e-05
soc,Anomaly_Driver,##vers,3.711284953169525e-05
soc,Anomaly_Driver,names,3.474483335139666e-05
soc,Anomaly_Driver,sky,3.4734942630620935e-05
soc,Anomaly_Driver,scrape,3.4510897239670155e-05
soc,Anomaly_Driver,update,3.349737089592963e-05
soc,Anomaly_Driver,appreciated,3.237886057831929e-05
soc,Anomaly_Driver,`,3.0712436364410677e-05
soc,Anomaly_Driver,hospital,2.8417354678822447e-05
soc,Anomaly_Driver,posting,2.7265862308922804e-05
soc,Anomaly_Driver,##24,2.704483727029583e-05
soc,Anomaly_Driver,hello,2.6684459999160027e-05
soc,Anomaly_Driver,yesterday,2.5105672193603823e-05
soc,Anomaly_Driver,mean,2.363468267958524e-05
soc,Anomaly_Driver,##ru,2.2926617748453282e-05
soc,Anomaly_Driver,recommended,2.0247447537258267e-05
soc,Anomaly_Driver,tri,2.0133951693424024e-05
soc,Anomaly_Driver,pointing,1.9689032114911242e-05
soc,Anomaly_Driver,rights,1.7834912637226807e-05
soc,Anomaly_Driver,falsely,1.6896106535568835e-05
soc,Anomaly_Driver,alliance,1.5750894090160727e-05
soc,Anomaly_Driver,##ters,1.5615684242220594e-05
soc,Anomaly_Driver,info,1.3632839215915738e-05
soc,Anomaly_Driver,shipping,1.3529464968087269e-05
soc,Anomaly_Driver,tr,1.3156742443243275e-05
soc,Anomaly_Driver,power,1.313665281941212e-05
soc,Anomaly_Driver,queens,1.2705639528576285e-05
soc,Anomaly_Driver,texas,1.2259234586053935e-05
soc,Anomaly_Driver,cal,1.188375954370713e-05
soc,Anomaly_Driver,arms,1.175794977825717e-05
soc,Anomaly_Driver,wrote,1.1720075735865976e-05
soc,Anomaly_Driver,dod,1.1718771247615223e-05
soc,Anomaly_Driver,bit,1.1307847444186336e-05
soc,Anomaly_Driver,printer,1.117220338073821e-05
soc,Anomaly_Driver,learn,1.0772345842724462e-05
soc,Anomaly_Driver,made,1.0644930887337977e-05
soc,Anomaly_Driver,math,1.060997501554084e-05
soc,Anomaly_Driver,aria,1.0217691033176379e-05
soc,Anomaly_Driver,uses,1.0207738955614332e-05
soc,Anomaly_Driver,victor,1.0037304309662432e-05
soc,Anomaly_Driver,##mc,9.697297355160116e-06
soc,Anomaly_Driver,disc,9.523316930426517e-06
soc,Anomaly_Driver,pool,9.330638386018109e-06
talk,Anomaly_Driver,##ound,2.6766195605887334e-05
talk,Anomaly_Driver,##48,2.4496588082456583e-05
talk,Anomaly_Driver,##ments,1.7960049046905623e-05
talk,Anomaly_Driver,package,1.6180683587663225e-05
talk,Anomaly_Driver,salem,1.5560022438876332e-05
talk,Anomaly_Driver,morris,1.485344561160673e-05
talk,Anomaly_Driver,false,1.4483620498140226e-05
talk,Anomaly_Driver,handling,8.42937540710409e-06
talk,Anomaly_Driver,howell,8.262982009910048e-06
talk,Anomaly_Driver,set,8.014237238285205e-06
talk,Anomaly_Driver,facts,7.588300286442973e-06
talk,Anomaly_Driver,chorus,7.5431147706694904e-06
talk,Anomaly_Driver,comedy,7.360153540503234e-06
talk,Anomaly_Driver,assume,7.315466802992887e-06
