SuperCategory,TokenType,Token,AccumulatedScore
talk,Anomaly_Driver,fisher,2.9156592245271894e-05
talk,Anomaly_Driver,afc,2.760322531685233e-05
talk,Anomaly_Driver,comes,2.6544000843387038e-05
talk,Anomaly_Driver,shipping,2.642672566253168e-05
talk,Anomaly_Driver,funny,2.555984665377764e-05
talk,Anomaly_Driver,),2.520497750992945e-05
talk,Anomaly_Driver,##color,2.5147342239506542e-05
talk,Anomaly_Driver,budget,2.493172837603197e-05
talk,Anomaly_Driver,run,2.4029736471220532e-05
talk,Anomaly_Driver,started,2.304282973000227e-05
talk,Anomaly_Driver,tell,2.2797886219905195e-05
talk,Anomaly_Driver,connect,2.0678223336290102e-05
talk,Anomaly_Driver,examples,2.056752150565444e-05
talk,Anomaly_Driver,etc,2.0324978117969293e-05
talk,Anomaly_Driver,co,2.0202212772346685e-05
talk,Anomaly_Driver,demo,1.9621477269993194e-05
talk,Anomaly_Driver,saw,1.7699733433573783e-05
talk,Anomaly_Driver,ec,1.708746299300401e-05
talk,Anomaly_Driver,reply,1.5793535294506e-05
talk,Anomaly_Driver,steve,1.5722948353413814e-05
talk,Anomaly_Driver,##bs,1.4980014020693488e-05
talk,Anomaly_Driver,could,1.4971075381708943e-05
talk,Anomaly_Driver,matt,1.447955173716764e-05
talk,Anomaly_Driver,nasa,1.4454641632255517e-05
talk,Anomaly_Driver,##fo,1.4430722967517794e-05
talk,Anomaly_Driver,way,1.4323406324479037e-05
talk,Anomaly_Driver,survive,1.4240124323805503e-05
talk,Anomaly_Driver,ethan,1.4053464110475033e-05
talk,Anomaly_Driver,checked,1.3463214895637065e-05
